timestamp,event_type,value
1.292829990386963,key_press,Key.alt_l
1.4008653163909912,key_press,Key.tab
2.781093120574951,key_press,'t'
2.9060914516448975,key_press,'h'
3.08825945854187,key_press,'i'
3.220961570739746,key_press,'s'
3.443544864654541,key_press,Key.space
3.909834384918213,key_press,Key.backspace
4.414324760437012,key_press,Key.backspace
4.443520784378052,key_press,Key.backspace
4.475323677062988,key_press,Key.backspace
4.504859447479248,key_press,Key.backspace
4.530858755111694,key_press,Key.backspace
4.562784433364868,key_press,Key.backspace
4.594505786895752,key_press,Key.backspace
4.630833864212036,key_press,Key.backspace
4.657695770263672,key_press,Key.backspace
4.691713571548462,key_press,Key.backspace
4.718883991241455,key_press,Key.backspace
4.749263048171997,key_press,Key.backspace
4.781448841094971,key_press,Key.backspace
4.797296524047852,key_press,Key.backspace
4.839156866073608,key_press,Key.backspace
4.859736680984497,key_press,Key.backspace
4.890594244003296,key_press,Key.backspace
4.922439813613892,key_press,Key.backspace
4.959765195846558,key_press,Key.backspace
4.984579801559448,key_press,Key.backspace
5.230826139450073,key_press,Key.backspace
5.385532379150391,key_press,Key.backspace
5.54112696647644,key_press,Key.backspace
6.335499048233032,key_press,'t'
6.500020503997803,key_press,'h'
6.641295909881592,key_press,'s'
6.645943880081177,key_press,'i'
6.893129587173462,key_press,Key.space
7.108040809631348,key_press,'i'
7.264271974563599,key_press,'s'
7.374900817871094,key_press,Key.space
7.538033962249756,key_press,'s'
7.750898361206055,key_press,'a'
8.700661182403564,key_press,Key.backspace
8.86186408996582,key_press,Key.backspace
9.267010927200317,key_press,Key.space
9.40960431098938,key_press,'a'
9.547194957733154,key_press,Key.space
11.19840121269226,mouse_move,"""1239,1084"""
11.207215070724487,mouse_move,"""1245,1074"""
11.209600687026978,mouse_move,"""1255,1068"""
11.221737146377563,mouse_move,"""1264,1060"""
11.22882866859436,mouse_move,"""1275,1052"""
11.236140251159668,mouse_move,"""1284,1045"""
11.242831230163574,mouse_move,"""1296,1040"""
11.249699592590332,mouse_move,"""1308,1034"""
11.256822109222412,mouse_move,"""1320,1030"""
11.264824867248535,mouse_move,"""1334,1025"""
11.27118730545044,mouse_move,"""1346,1021"""
11.278257369995117,mouse_move,"""1360,1018"""
11.283466815948486,mouse_move,"""1375,1014"""
11.292436838150024,mouse_move,"""1390,1011"""
